date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:54:32	33704/33704	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Jan%202023%2019:54:32%20GMT	https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D	C:/Users/user/Downloads/Dana/m.dana.id/m/ipg/new/inputphone98b0.html	(from )
02:54:32	118/118	---M--	404	error ('Not%20Found')	text/html	etag:%22964F1FC5EA1492A6A21F3CC77B033A6D%22	https://m.dana.id/robots.txt		(from )
02:54:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2019:54:33%20GMT	http://a.m.dana.id/marmot/resource/danalibs/1.19.1/vendor.ede5dbab92f35eb1430a.js	C:/Users/user/Downloads/Dana/a.m.dana.id/marmot/resource/danalibs/1.19.1/vendor.ede5dbab92f35eb1430a.1.delayed	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
02:54:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2019:54:34%20GMT	http://a.m.dana.id/marmot/resource/danafonts/0.0.4/font.2894c24bce20fd85f975.js	C:/Users/user/Downloads/Dana/a.m.dana.id/marmot/resource/danafonts/0.0.4/font.2894c24bce20fd85f975.js	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
02:54:34	159527/159527	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Jul%202019%2006:00:15%20GMT	https://a.m.dana.id/marmot/resource/danalibs/1.19.1/vendor.ede5dbab92f35eb1430a.js	C:/Users/user/Downloads/Dana/a.m.dana.id/marmot/resource/danalibs/1.19.1/vendor.ede5dbab92f35eb1430a.js	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
02:54:35	564/564	---M--	200	added ('OK')	application/javascript	etag:%22A2A39C7C58662D40723EE8FFCF310A1D%22	https://a.m.dana.id/marmot/resource/danafonts/0.0.4/font.2894c24bce20fd85f975.js	C:/Users/user/Downloads/Dana/a.m.dana.id/marmot/resource/danafonts/0.0.4/font.2894c24bce20fd85f975.js	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
02:54:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2019:54:36%20GMT	http://a.m.dana.id/marmot/resource/danafonts/0.0.4/font.6861d8ab9aba99405f2ca04e1c2cab81.css	C:/Users/user/Downloads/Dana/a.m.dana.id/marmot/resource/danafonts/0.0.4/font.6861d8ab9aba99405f2ca04e1c2cab81.css	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
02:54:35	12588/12588	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Feb%202020%2010:32:39%20GMT	https://a.m.dana.id/marmot/resource/danafonts/0.0.4/font.6861d8ab9aba99405f2ca04e1c2cab81.css	C:/Users/user/Downloads/Dana/a.m.dana.id/marmot/resource/danafonts/0.0.4/font.6861d8ab9aba99405f2ca04e1c2cab81.css	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
02:54:35	16879/16879	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20Jan%202023%2005:48:31%20GMT	https://m.dana.id/m/portal/1.126.0/common-vendor.b09643e34d411bf21d43.js	C:/Users/user/Downloads/Dana/m.dana.id/m/portal/1.126.0/common-vendor.b09643e34d411bf21d43.js	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
02:54:35	411332/411332	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20Jan%202023%2005:48:31%20GMT	https://m.dana.id/m/portal/1.126.0/3rd-party-vendor.4178bf42df1a972f677b.js	C:/Users/user/Downloads/Dana/m.dana.id/m/portal/1.126.0/3rd-party-vendor.4178bf42df1a972f677b.js	(from https://m.dana.id/m/ipg/new/inputphone?phoneNumber=&ipgForwardUrl=%2Fm%2Fac%2Finit%3FACCodeValue%3D281666040099iP2Z7RdS17QWsA2tl8i6HJCr%26externalDivisionId%3DSP21706762%2Fportal%2Fcashier%2Fcheckout%3FbizNo%3D20%26timestamp%3D1674560879456%26originSourcePlatform%3DIPG%26mid%3D216620000225427410011%26sid%3D216660000174365511640%26sign%3DbloZGfbTAPlE%252BL7UYo%252FAa2j9lY1HLDvY0F4Z%252BhfhjpgYRmZar5gr6fyh4tWcasRaNZq3c1SgIE8y4Elez2NsIpdngj3PP%252FxCRfxgOg2UHs9SQB5Jcbx9VV8jZygx53T61mMqJqHdqhGuHFbN2nuMYPMGAp1VaKryFT%252FocoF7O%252FfZ39QQATMwBylN0EJOxqqOSAu7EQcA8PUExaG%252Fa7fQj5%252F5a1eEjZ12iub9GHEbvfgM3OjtkX00VZiPAaHG2Y7Idg43kIu2xCGfYHcGb2ItsnTueuhZ%252B6OtQ%252FrcLz7IcXo5vt7k70npxOzK64GPehGk1zLeTrRWxLgvltDVGqSmJw%253D%253D)
